"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",04/02/2015 7:45,1,1,1         ,1         ,"",0.004,<0>  ,0.037,<0>  ,0.0095,<0>  ,1.48,<0>  ,1.49,<0>  ,9.6,<0>  ,
"cbmocnut  ","P",04/15/2015 11:30,1,1,1         ,1         ,"",0.0029,<0>  ,0.11,<0>  ,0.0278,<0>  ,1.332,<0>  ,1.36,<0>  ,27.8,<0>  ,
"cbmocnut  ","P",04/15/2015 11:31,1,1,1         ,2         ,"",0.0023,<0>  ,0.106,<0>  ,0.029,<0>  ,1.341,<0>  ,1.37,<0>  ,28.8,<0>  ,
"cbmocnut  ","P",04/28/2015 11:15,1,1,1         ,1         ,"",0.0054,<0>  ,0.045,<0>  ,0.0064,<0>  ,0.261,<0>  ,0.267,<0>  ,27.8,<0>  ,
"cbmocnut  ","P",05/12/2015 11:45,1,1,1         ,1         ,"",0.0046,<0>  ,0.199,<0>  ,0.0396,<0>  ,0.662,<0>  ,0.702,<0>  ,103.5,<0>  ,
"cbmocnut  ","P",05/27/2015 7:30,1,1,1         ,1         ,"",0.0043,<0>  ,0.251,<0>  ,0.0363,<0>  ,0.768,<0>  ,0.804,<0>  ,29.9,<0>  ,
"cbmocnut  ","P",06/11/2015 10:45,1,1,1         ,1         ,"",0.0035,<0>  ,0.066,<0>  ,0.0208,<0>  ,0.56,<0>  ,0.581,<0>  ,36.7,<0>  ,
"cbmocnut  ","P",06/25/2015 11:30,1,1,1         ,1         ,"",0.0043,<0>  ,0.015,<0>  ,0.0177,<0>  ,0.484,<0>  ,0.502,<0>  ,51.3,<1> [SRD] ,
"cbmocnut  ","P",06/25/2015 11:31,1,1,1         ,2         ,"",0.0036,<0>  ,0.017,<0>  ,0.0184,<0>  ,0.496,<0>  ,0.514,<0>  ,30.4,<1> [SRD] ,
"cbmocnut  ","P",07/09/2015 10:45,1,1,1         ,1         ,"",0.0134,<0>  ,0.098,<0>  ,0.0243,<0>  ,0.681,<0>  ,0.705,<0>  ,37.4,<0>  ,
"cbmocnut  ","P",07/23/2015 11:15,1,1,1         ,1         ,"",0.0038,<0>  ,0.062,<0>  ,0.0141,<0>  ,0.503,<0>  ,0.517,<0>  ,17.1,<0>  ,
"cbmocnut  ","P",07/23/2015 11:16,1,1,1         ,2         ,"",0.0044,<0>  ,0.032,<0>  ,0.0111,<0>  ,0.418,<0>  ,0.429,<0>  ,29.5,<0>  ,
"cbmocnut  ","P",08/06/2015 11:45,1,1,1         ,1         ,"",0.0039,<0>  ,0.011,<0>  ,0.0087,<0>  ,0.219,<0>  ,0.228,<0>  ,29.4,<0>  ,
"cbmocnut  ","P",08/18/2015 11:45,1,1,1         ,1         ,"",0.0066,<0>  ,0.039,<0>  ,0.0109,<0>  ,0.138,<0>  ,0.149,<0>  ,22.4,<0>  ,
"cbmocnut  ","P",08/18/2015 11:46,1,1,1         ,2         ,"",0.006,<0>  ,0.031,<0>  ,0.0078,<0>  ,0.097,<0>  ,0.105,<0>  ,23.0,<0>  ,
"cbmocnut  ","P",09/01/2015 7:30,1,1,1         ,1         ,"",0.006,<0>  ,0.08,<0>  ,0.0074,<0>  ,0.286,<0>  ,0.293,<0>  ,22.4,<0>  ,
"cbmocnut  ","P",09/15/2015 8:00,1,1,1         ,1         ,"",0.0036,<0>  ,0.045,<0>  ,0.0081,<0>  ,0.107,<0>  ,0.115,<0>  ,40.0,<1> [SRD] ,
"cbmocnut  ","P",09/15/2015 8:01,1,1,1         ,2         ,"",0.003,<0>  ,0.036,<0>  ,0.0075,<0>  ,0.09,<0>  ,0.098,<0>  ,21.9,<1> [SRD] ,
"cbmocnut  ","P",09/30/2015 11:45,1,1,1         ,1         ,"",0.0036,<0>  ,0.095,<0>  ,0.013,<0>  ,0.95,<0>  ,0.963,<0>  ,38.4,<0>  ,
"cbmocnut  ","P",10/14/2015 11:00,1,1,1         ,1         ,"",0.0029,<0>  ,0.008,<0>  ,0.0088,<0>  ,0.344,<0>  ,0.353,<0>  ,51.8,<0>  ,
"cbmocnut  ","P",10/29/2015 11:15,1,1,1         ,1         ,"",0.0026,<0>  ,0.168,<0>  ,0.0085,<0>  ,0.476,<0>  ,0.484,<0>  ,24.0,<0>  ,
"cbmocnut  ","P",10/29/2015 11:16,1,1,1         ,2         ,"",0.0028,<0>  ,0.153,<0>  ,0.0096,<0>  ,0.564,<0>  ,0.574,<0>  ,20.8,<0>  ,
"cbmocnut  ","P",11/18/2015 10:30,1,1,1         ,1         ,"",0.0065,<0>  ,0.01,<0>  ,0.0054,<0>  ,0.352,<0>  ,0.357,<0>  ,88.1,<0>  ,
"cbmocnut  ","P",11/18/2015 10:31,1,1,1         ,2         ,"",0.0074,<0>  ,0.02,<0>  ,0.006,<0>  ,0.339,<0>  ,0.345,<0>  ,102.5,<0>  ,
"cbmocnut  ","P",12/10/2015 10:15,1,1,1         ,1         ,"",0.0024,<0>  ,0.13,<0>  ,0.0086,<0>  ,0.667,<0>  ,0.676,<0>  ,34.7,<0>  ,
"cbmocnut  ","P",12/10/2015 10:16,1,1,1         ,2         ,"",0.0028,<0>  ,0.131,<0>  ,0.0083,<0>  ,0.751,<0>  ,0.759,<0>  ,28.3,<0>  ,

